year,make,model,count,vins
2018,DODGE,CHALLENGER,1,2C3CDZGG6JH257206
2018,MERCEDES-BENZ,GLE,1,4JGDA5JB4JB009801
2021,CHEVROLET,EQUINOX,1,3GNAXXEV0MS119024
2022,HONDA,ACCORD,1,1HGCV1F38NA042831
2023,DODGE,CHALLENGER,1,2C3CDZBT2PH628830
2023,JEEP,RENEGADE,1,ZACNJDB14PPP69442
2024,FORD,MUSTANG,1,1FA6P8CF3R5421107
2024,HONDA,CIVIC-TYPE-R,1,JHMFL5G49RX000945
2025,HONDA,CIVIC,1,2HGFE2F24SH603369
2025,KIA,SOUL,1,KNDJ23AU8S7930403
2025,NISSAN,ALTIMA,1,1N4BL4DV9SN307790
2025,TOYOTA,COROLLA,1,5YFB4MDE8SP247429
