date,year,make,model,vin,url,change
2025-10-08,2021,CHEVROLET,EQUINOX,3GNAXXEV0MS119024,https://www.carboxautosales.com/inventory/chevrolet/equinox/cb119024/,added
2025-10-08,2018,DODGE,CHALLENGER,2C3CDZGG6JH257206,https://www.carboxautosales.com/inventory/dodge/challenger/257206/,added
2025-10-08,2023,DODGE,CHALLENGER,2C3CDZBT2PH628830,https://www.carboxautosales.com/inventory/dodge/challenger/628830/,added
2025-10-08,2024,FORD,MUSTANG,1FA6P8CF3R5421107,https://www.carboxautosales.com/inventory/ford/mustang/a421207/,added
2025-10-08,2022,HONDA,ACCORD,1HGCV1F38NA042831,https://www.carboxautosales.com/inventory/honda/accord/042831/,added
2025-10-08,2024,HONDA,CIVIC-TYPE-R,JHMFL5G49RX000945,https://www.carboxautosales.com/inventory/honda/civic-type-r/000945/,added
2025-10-08,2025,HONDA,CIVIC,2HGFE2F24SH603369,https://www.carboxautosales.com/inventory/honda/civic/603369/,added
2025-10-08,2023,JEEP,RENEGADE,ZACNJDB14PPP69442,https://www.carboxautosales.com/inventory/jeep/renegade/c69442/,added
2025-10-08,2025,KIA,SOUL,KNDJ23AU8S7930403,https://www.carboxautosales.com/inventory/kia/soul/930403/,added
2025-10-08,2018,MERCEDES-BENZ,GLE,4JGDA5JB4JB009801,https://www.carboxautosales.com/inventory/mercedes-benz/gle/f009801/,added
2025-10-08,2025,NISSAN,ALTIMA,1N4BL4DV9SN307790,https://www.carboxautosales.com/inventory/nissan/altima/c307790/,added
2025-10-08,2025,TOYOTA,COROLLA,5YFB4MDE8SP247429,https://www.carboxautosales.com/inventory/toyota/corolla/c246429/,added
